Month-Year,Country,"International Reserves and Liquidity, Reserves, Official Reserve Assets, US Dollar","Prices, Consumer Price Index, All items, Index","Economic Activity, Industrial Production, Index","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",Monthly_Nominal_ER_Growth (%),Monthly_Real_ER,Monthly_Real_ER_Growth (%),Real_ER_Index,Monthly_Inflation_Rate (%),Monthly_Industrial_Growth (%),YOY_Monthly_Industrial_Growth (%),International_Reserves_Index
1959-12-01,Germany,4811.47434116477,24.6169286782733,32.5003052076715,4.2000000032,,7.668366707850031,,4.625164522500965,,,,101.84834200686323
1960-01-01,Germany,4724.15578531513,24.6169286782733,31.1938811019131,4.2000000032,0.0,7.694538607876816,0.3412969283275613,4.640950066946357,0.0,-4.019728729962912,,100.0
1960-02-01,Germany,4806.36283037685,24.477068434352,31.0415985374382,4.2000000032,0.0,7.624799142933435,-0.9063501854677747,4.598886807407122,-0.5681466024831106,-0.4881808838642976,,101.74014255239545
1960-03-01,Germany,4966.45601579936,24.477068434352,32.2037549505362,4.2000000032,0.0,7.624799142933435,0.0,4.598886807407122,0.0,3.7438678027369,,105.1289635967851
1960-04-01,Germany,5236.12062415449,24.6169286782733,34.2876216222981,4.2000000032,0.0,7.642372244433597,0.23047297601863637,4.609485998695882,0.5713929521274475,6.470881035340881,,110.83717095932325
1960-05-01,Germany,5417.0918471847,24.6868644511529,33.7265805952853,4.2000000032,0.0,7.6640839379000445,0.2840962566598604,4.622581375869437,0.2840962566598604,-1.6362786348760316,,114.66793419521721
1960-06-01,Germany,5843.76690714421,24.6868644511529,34.3998298277007,4.2000000032,0.0,7.638191762434173,-0.3378378378377511,4.60696454689691,0.0,1.9961977186311985,,123.699707899332
1960-07-01,Germany,6124.72853785116,24.6868644511529,32.3480226431966,4.2000000032,0.0,7.638191762434173,0.0,4.60696454689691,0.0,-5.964585274930245,,129.64704840787977
1960-08-01,Germany,6358.68057623484,24.6868644511529,31.1538067428407,4.2000000032,0.0,7.638191762434173,0.0,4.60696454689691,0.0,-3.6917740336968152,,134.59929911711575
1960-09-01,Germany,6643.27290237623,24.6169286782733,34.6563057257637,4.2000000032,0.0,7.61655341928349,-0.28329143629389764,4.593913410862455,-0.28329143629389764,11.242603550296115,,140.62349347213757
1960-10-01,Germany,6878.94807071075,24.6868644511529,35.8905959851919,4.2000000032,0.0,7.58692873047154,-0.3889513692236113,4.576045321749958,0.2840962566598604,3.5615171137834745,,145.61221905707927
1960-11-01,Germany,6909.71814983537,24.7568002240326,37.2691539372805,4.2000000032,0.0,7.608421849842719,0.2832914362943084,4.589008866267422,0.2832914362943084,3.841000446627807,,146.26355403676533
1960-12-01,Germany,7053.73822895998,24.7568002240326,36.0428785496668,4.2000000032,0.0,7.608421849842719,0.0,4.589008866267422,0.0,-3.290322580645033,10.900123304562381,149.31214273005716
1961-01-01,Germany,6987.74674401697,24.9666075426714,33.4701046972222,4.2000000032,0.0,7.672901207956162,0.8474734890623337,4.627899499819758,0.8474734890623337,-7.1380920613744685,7.2970195272350935,147.91524796320502
1961-02-01,Germany,7057.50971296172,24.9666075426714,34.8085882902386,4.2000000032,0.0,7.672901207956162,0.0,4.627899499819758,0.0,3.999042145594167,12.13529563645752,149.3919767612181
1961-03-01,Germany,7446.15251971461,24.9666075426714,36.2272206013996,4.000000003,-4.761904763038549,7.307524959871255,-4.761904763038549,4.407523333109204,0.0,4.07552383145291,12.493777999004463,157.6186912137976
1961-04-01,Germany,7111.59562260896,24.9666075426714,36.9726036801452,4.000000003,0.0,7.307524959871255,0.0,4.407523333109204,0.0,2.0575221238937624,7.8307620383357035,150.53685665309985
